exps,dataSets,attacks,budgets(%),metrics,result
1,CiteSeer,CLGA,20,edge_homophily,0.491372843
1,CiteSeer,CLGA,20,node_homophily,0.471953135
1,CiteSeer,CLGA,20,class_homophily,0.464239416
1,CiteSeer,CLGA,20,adjusted_homophily,0.231403362
1,CiteSeer,CLGA,20,balanced_homophily,0.141892947
1,CiteSeer,dice,1,edge_homophily,0.539273927
1,CiteSeer,dice,1,node_homophily,0.511003306
1,CiteSeer,dice,1,class_homophily,0.530246386
1,CiteSeer,dice,1,adjusted_homophily,0.384430942
1,CiteSeer,dice,1,balanced_homophily,0.183147303
1,CiteSeer,dice,5,edge_homophily,0.524622456
1,CiteSeer,dice,5,node_homophily,0.494358092
1,CiteSeer,dice,5,class_homophily,0.508005505
1,CiteSeer,dice,5,adjusted_homophily,0.363214139
1,CiteSeer,dice,5,balanced_homophily,0.169246753
1,CiteSeer,dice,10,edge_homophily,0.506933744
1,CiteSeer,dice,10,node_homophily,0.475580264
1,CiteSeer,dice,10,class_homophily,0.482274675
1,CiteSeer,dice,10,adjusted_homophily,0.343072404
1,CiteSeer,dice,10,balanced_homophily,0.153164984
1,CiteSeer,dice,15,edge_homophily,0.491371681
1,CiteSeer,dice,15,node_homophily,0.460324962
1,CiteSeer,dice,15,class_homophily,0.463152601
1,CiteSeer,dice,15,adjusted_homophily,0.325879181
1,CiteSeer,dice,15,balanced_homophily,0.141213688
1,CiteSeer,dice,20,edge_homophily,0.468503937
1,CiteSeer,dice,20,node_homophily,0.432277397
1,CiteSeer,dice,20,class_homophily,0.433662949
1,CiteSeer,dice,20,adjusted_homophily,0.292495882
1,CiteSeer,dice,20,balanced_homophily,0.122782656
1,CiteSeer,metattack,1,edge_homophily,0.538177072
1,CiteSeer,metattack,1,node_homophily,0.509659786
1,CiteSeer,metattack,1,class_homophily,0.525977884
1,CiteSeer,metattack,1,adjusted_homophily,0.377513283
1,CiteSeer,metattack,1,balanced_homophily,0.18047949
1,CiteSeer,metattack,5,edge_homophily,0.518937016
1,CiteSeer,metattack,5,node_homophily,0.488674199
1,CiteSeer,metattack,5,class_homophily,0.495340063
1,CiteSeer,metattack,5,adjusted_homophily,0.33254975
1,CiteSeer,metattack,5,balanced_homophily,0.161330852
1,CiteSeer,metattack,10,edge_homophily,0.498102656
1,CiteSeer,metattack,10,node_homophily,0.462959269
1,CiteSeer,metattack,10,class_homophily,0.462629881
1,CiteSeer,metattack,10,adjusted_homophily,0.274689362
1,CiteSeer,metattack,10,balanced_homophily,0.140886988
